date,open,high,low,close,volume
2023-04-13,161.40674980193992,165.57098806709064,161.19703316457137,165.33131408691406,68445600
2023-04-14,164.36265753254696,166.0902789530472,163.5937320609274,164.9818115234375,49386500
2023-04-17,164.86196400554493,165.16155267486212,163.80343057997516,165.00177001953125,41516200
2023-04-18,165.87058246245033,167.17877060262967,165.42119182938217,166.2400665283203,49923000
2023-04-19,165.5709938538562,167.92773474263433,165.31134322349524,167.39846801757812,47720200
2023-04-20,165.86057577225114,167.63811583437186,165.3313090817159,166.4197998046875,52456400
2023-04-21,164.82202582458106,166.22008596329093,164.2628017690971,164.7920684814453,58337300
2023-04-24,164.77209277986006,165.37127012141738,163.66362536437794,165.1016387939453,41949600
2023-04-25,164.9618294844116,166.08027757941898,163.5038394425234,163.54379272460938,48714100
2023-04-26,162.83476815227039,165.05170295837482,162.57513276728713,163.53379821777344,45498800
2023-04-27,164.9618299038175,168.3271701367736,164.9618299038175,168.17738342285156,64902300
2023-04-28,168.25727419459005,169.61539626794956,167.64811616379544,169.44561767578125,55209200
2023-05-01,169.04617404607063,170.21455610849597,168.40705868104195,169.35574340820312,52472900
2023-05-02,169.85505198266708,170.11470259826532,167.30857123578147,168.30718994140625,48425700
2023-05-03,169.26587567909357,170.68391245507726,166.9291114949111,167.2187042236328,65136000
2023-05-04,164.66223863513403,166.80926276854075,164.08303795427128,165.5609893798828,81235400
2023-05-05,170.74382712492732,174.05924864080583,170.52412978410584,173.33026123046875,113316400
2023-05-08,172.24175011249318,173.60986810110467,171.87226606740936,173.26034545898438,55962800
2023-05-09,172.81097613044236,173.3002895612627,171.36298200392997,171.53274536132812,45326900
2023-05-10,172.7810193066126,173.78961875220264,171.66255595199104,173.3202667236328,53724500
2023-05-11,173.60987773683433,174.34884586801633,171.93219029433865,173.510009765625,49514700
2023-05-12,173.6199951171875,174.05999755859375,171.0,172.57000732421875,45497800
